extra_trees_aac.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
1.80,0.34,0.99,0.67,0.45,0.97,0.34
1.90,0.31,0.99,0.65,0.42,0.97,0.30
2.00,0.25,0.99,0.62,0.37,0.97,0.24
2.10,0.22,0.99,0.61,0.34,0.97,0.21
2.20,0.12,0.99,0.56,0.24,0.97,0.12
2.30,0.09,1.00,0.55,0.22,0.97,0.09
2.40,0.08,1.00,0.54,0.21,0.97,0.08
2.50,0.06,1.00,0.53,0.18,0.97,0.06
2.60,0.05,1.00,0.53,0.16,0.97,0.05
2.70,0.05,1.00,0.52,0.15,0.97,0.05
2.80,0.04,1.00,0.52,0.14,0.97,0.04
2.90,0.03,1.00,0.52,0.13,0.97,0.03

svm_kfold_aac.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.48,0.00,0.95,0.00
-2.90,1.00,0.00,0.48,0.00,0.95,0.00
-2.80,1.00,0.00,0.48,0.00,0.95,0.00
-2.70,1.00,0.00,0.48,0.00,0.95,0.00
-2.60,1.00,0.00,0.48,0.00,0.95,0.00
-2.50,1.00,0.00,0.48,0.00,0.95,0.00
-2.40,1.00,0.00,0.48,0.00,0.95,0.00
-2.30,1.00,0.00,0.48,0.00,0.95,0.00
-2.20,1.00,0.00,0.48,0.00,0.95,0.00
-2.10,1.00,0.00,0.48,0.00,0.95,0.00
-2.00,1.00,0.03,0.49,0.11,0.95,0.02
-1.90,1.00,0.05,0.51,0.16,0.95,0.05
-1.80,1.00,0.05,0.51,0.16,0.95,0.05
-1.70,1.00,0.10,0.53,0.23,0.95,0.10
-1.60,1.00,0.17,0.57,0.30,0.95,0.17
-1.50,1.00,0.23,0.60,0.35,0.95,0.22
-1.40,1.00,0.33,0.65,0.43,0.95,0.32
-1.30,0.97,0.38,0.66,0.43,0.95,0.34
-1.20,0.97,0.42,0.69,0.47,0.95,0.39
-1.10,0.97,0.57,0.77,0.59,0.95,0.54
-1.00,0.97,0.62,0.79,0.63,0.95,0.59
